variant,fixture,regime,session,query,label,n_block,cos_top1,cos_top2,cos_margin,fused_top1,fused_top2,fused_margin,entropy,bm25_top1_raw,bm25_best_text,bm25_hits,vector_top1_is_text_top1,subject_key,subject_competitors,subject_distinctive,subject_query_overlap,subject_min_df,subject_admits,query_chars,query_tokens,query_is_question,query_first_word,live_facts,stored_facts,n_subjects,session_span_s,gate_open,top1_fact
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which sport is goaltender associated with?,positive,12,0.873803675174713,0.7713747024536131,0.10242897272109996,0.6721566732113177,0.5933651557335485,0.07879151747776914,2.46488330605504,0.0,3.25,48,False,associated goaltender sport,14,1,1,1,True,42,6,True,which,150,219,150,0.0,True,goaltender is associated with the sport of ice hockey.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is Nobuhiro Watsuki famous for?,hard_negative,12,0.39971184730529796,0.486853003501892,-0.08714115619659402,0.399711847305298,0.37450231038607074,0.025209536919227282,2.4804488950757744,11.0,11.0,48,True,crane famous stephen work,2,4,1,1,True,36,6,True,what,150,219,150,0.0,True,Stephen Crane is famous for Charlie Hebdo.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which country was rugby union created in?,positive,12,0.860497772693634,0.684110760688782,0.17638701200485207,0.784376815878428,0.684110760688782,0.10026605518964604,2.458161875708952,7.4,12.0,48,False,country created rugby union,9,2,2,1,True,41,7,True,which,150,219,150,0.0,True,rugby union was created in the country of England.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is Ferdowsi famous for?,positive,12,0.833027362823486,0.562349498271942,0.27067786455154397,0.6407902790949892,0.4325765371322631,0.20821374196272613,2.4632074903161145,0.0,11.0,48,False,famous ferdowsi work,1,3,2,1,True,28,5,True,what,150,219,150,0.0,True,Ferdowsi is famous for Shahnameh.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which university was Joan Didion educated at?,positive,12,0.849915981292725,0.5775050520896909,0.2724109292030341,0.653781524071327,0.5775050520896909,0.07627647198163601,2.476019641704815,0.0,12.0,48,False,didion educated joan university,11,2,2,1,True,45,7,True,which,150,219,150,0.0,True,"The univeristy where Joan Didion was educated is University of California, Berkeley."
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the author of The Marriage of Figaro?,hard_negative,12,0.513493657112122,0.548869609832764,-0.03537595272064198,0.5087537156618562,0.42220739217904923,0.086546323482807,2.4793162636764023,1.8,1.875,48,False,author endymion,6,1,0,1,False,44,9,True,who,150,219,150,0.0,False,The author of Endymion is John Keats.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which sport is Tunisia national football team associated with?,hard_negative,12,0.587565541267395,0.5854141116142271,0.0021514296531679467,0.5145544385063577,0.5126703462657136,0.0018840922406441196,2.4792588912828246,1.5,3.25,48,False,associated midfielder sport,14,1,0,1,False,62,9,True,which,150,219,150,0.0,False,midfielder is associated with the sport of association football.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which sport is quarterback associated with?,hard_negative,12,0.6668961644172671,0.576681733131409,0.09021443128585804,0.6668961644172671,0.525496963918562,0.14139920049870502,2.474052434441826,3.25,3.25,48,True,associated receiver sport wide,14,2,0,1,False,43,6,True,which,150,219,150,0.0,False,wide receiver is associated with the sport of American football.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the official language of Japan?,positive,12,0.818703532218933,0.9429317712783813,-0.12422823905944835,0.7317950034141538,0.725332131752601,0.006462871661552794,2.465623481256779,5.4,10.0,48,False,japan language official,13,1,1,2,True,39,7,True,what,150,219,150,0.0,True,The official language of Japan is Swedish.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the name of the current head of the Tucson government?,positive,12,0.865870356559753,0.6641384363174441,0.2017319202423089,0.6660541204305792,0.5108757202441877,0.1551784001863915,2.465015138458979,0.0,2.375,48,False,current government head tucson,2,2,2,1,True,62,12,True,what,150,219,150,0.0,True,The name of the current head of the Tucson government is Jonathan Rothschild.
